date,EspaceRichaud_affluence_base100k,train_valid_test
2018-10-06,250.36622719403383,train
2018-10-07,575.309628445865,train
2018-10-10,130.5100546011453,train
2018-10-11,95.88493807431082,train
2018-10-12,0.0,train
2018-10-13,0.0,train
2018-10-14,0.0,train
2018-10-17,119.85617259288853,train
2018-10-18,119.85617259288853,train
2018-10-19,71.91370355573312,train
2018-10-20,434.1456918364629,train
2018-10-21,548.674923425223,train
2018-10-24,354.24157677453724,train
2018-10-25,223.7315221733919,train
2018-10-26,279.6644027167399,train
2018-10-27,269.0105207084831,train
2018-10-28,399.5205753096284,train
2018-10-31,290.31828472499666,train
2018-11-01,0.0,train
2018-11-02,378.21281129311495,train
2018-11-03,340.92422426421626,train
2018-11-04,380.8762817951791,train
2018-11-07,151.81781861765882,train
2018-11-08,0.0,train
2018-11-09,0.0,train
2018-11-10,0.0,train
2018-11-11,0.0,train
2018-11-14,0.0,train
2018-11-15,0.0,train
2018-11-16,0.0,train
2018-11-17,359.5685177786656,train
2018-11-18,474.0977493674257,train
2018-11-21,178.4525236383007,train
2018-11-22,79.9041150619257,train
2018-11-23,114.52923158876014,train
2018-11-24,311.6260487415102,train
2018-11-25,412.83792781994936,train
2018-11-28,186.44293514449328,train
2018-11-29,109.20229058463177,train
2018-11-30,189.10640564655748,train
2018-12-01,269.0105207084831,train
2018-12-02,604.607803968571,train
2018-12-05,189.10640564655748,train
2018-12-06,143.82740711146624,train
2018-12-07,106.53882008256758,train
2018-12-08,516.7132774004527,train
2018-12-09,495.40551338393925,train
2018-12-22,3398.5883606339057,train
2018-12-23,4312.158742841923,train
2018-12-24,2682.114795578639,train
2018-12-26,5827.673458516447,train
2018-12-27,6059.395392196031,train
2018-12-28,5486.749234252231,train
2018-12-29,5468.104940737781,train
2018-12-30,5326.941004128379,train
2018-12-31,3100.2796644027167,train
2019-01-02,5505.39352776668,train
2019-01-03,5281.662005593288,train
2019-01-04,5433.479824210946,train
2019-01-05,5915.567985084565,train
2019-01-06,5603.941936343055,train
2019-02-14,652.5502730057265,train
2019-02-15,261.0201092022906,train
2019-02-16,458.11692635504056,train
2019-02-17,652.5502730057265,train
2019-02-20,306.2991077373818,train
2019-02-21,162.47170062591556,train
2019-02-22,261.0201092022906,train
2019-02-23,428.8187508323345,train
2019-02-24,665.8676255160474,train
2019-02-27,364.895458782794,train
2019-02-28,279.6644027167399,train
2019-03-01,356.9050472766014,train
2019-03-02,554.0018644293514,train
2019-03-03,681.8484485284325,train
2019-03-06,356.9050472766014,train
2019-03-07,354.24157677453724,train
2019-03-08,300.9721667332534,train
2019-03-09,519.376747902517,train
2019-03-10,708.4831535490745,train
2019-03-13,143.82740711146624,train
2019-03-14,127.8465840990811,train
2019-03-15,170.46211213210813,train
2019-03-16,447.4630443467838,train
2019-03-17,636.5694499933413,train
2019-03-20,170.46211213210813,train
2019-03-21,218.40458116926354,train
2019-03-22,159.8082301238514,train
